"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","text"
"1",0,0,0,0,0,0,0,0,0,0,0,"A little more @RealChalamet outtakes for you fans of #TimotheeChalamet 
He killed it last night in @LouisVuitton at the #Oscars #Oscars2022 
#photo #NFTartist https://t.co/Zxx1BeCa3c"
"2",0,1,0,0,0,0,1,1,0,1,1,".@SadhguruJV was interviewed by @FRANCE24 news network. The gripping conversation revolved around the #SaveSoil movement and its burgeoning global impact. Sadhguru also answers a question about the recent incident involving Will Smith at the Oscars. https://t.co/EpcmCj4juN"
"3",0,1,0,0,0,0,1,1,0,1,1,".@SadhguruJV was interviewed by @FRANCE24 news network. The gripping conversation revolved around the #SaveSoil movement and its burgeoning global impact. Sadhguru also answers a question about the recent incident involving Will Smith at the Oscars. https://t.co/EpcmCj4juN"
"4",0,0,0,0,0,0,0,0,0,1,1,"@oscars_folklore I AGREE"
"5",0,0,0,0,0,0,0,0,0,1,1,"Full episode available on Spotify, Apple Podcasts, Google Podcasts and more! 
https://t.co/TImclX56fZ
#WillAndChris #Oscars  #SlapChrisRock #podcast #SundayDinner #WillSmith https://t.co/OmEUzzQNUY"
"6",1,1,0,0,2,0,1,4,2,3,1,"Will Smith’s fan support continues to decline after Oscars slap: poll 

A new fan poll found that support for Will Smith has further declined in the days since the star slapped Oscars presenter Chris Rock in the face during the live broadcast on ABC last month. https://t.co/sYRWVn5vnQ"
"7",0,1,0,0,0,0,1,1,3,0,-3,"Sean Penn calls for Oscars boycott if Ukraine’s Zelensky isn’t given chance to speak 

Shut up. Who are you. You think we don't know whose agent you are. There isn't a woman you haven't pierced your ass with. You even pierced Charlize Theron. https://t.co/mviYYjhJY6"
"8",0,0,1,0,1,0,0,2,1,3,2,"Phil Lord and Chris Miller recall execs telling them that “if we played our cards right, we would one day 'graduate to live-action'” and that a “certain animated movie we made was so enjoyable that it reminded them of ‘a real movie.’”

(Source: https://t.co/ZgQYJAtOgs) https://t.co/80g8pKTa0r"
"9",0,0,0,0,0,0,0,0,0,0,0,"Oohh… <U+0001F632> just when we started to stop talking about it… <U+0001F926><U+0001F3FD><U+200D><U+2642><U+FE0F> #ChrisRock #WillSmith #WillAndChris #JadaPinkettSmith #Slapchrisrock #Oscars2022 https://t.co/4GY7Ei9g63"
"10",1,0,0,0,0,0,0,0,2,0,-2,"Ricky Gervais thinks he would have evaded Will Smith's anger at the Oscars: “I wouldn’t have told a joke about his wife’s hair... I’d have told a joke about her boyfriend.” https://t.co/TfM93WSULR"
"11",0,1,0,1,0,0,0,1,1,1,0,"@Raddsurfer People were outraged at what he did at the Oscars but now it is coming to light that the real villain in this story is Jada."
"12",0,0,0,0,0,0,0,1,0,0,0,"Will Smith warns Jada not to use him for ‘social media clout’ in resurfaced video https://t.co/YH2Ic1Jwii"
"13",1,0,0,0,0,0,1,1,2,0,-2,"Will Smith's fan support continues to decline after Oscars slap: poll https://t.co/x3yha67vPT https://t.co/jPGv8iPH0S"
"14",0,0,1,0,1,0,0,2,1,1,0,"Jada Pinkett-Smith is a toxic, emotionally abusive spouse. Will Smith is in an emotional abusive relationship. #Oscars https://t.co/1NtrAPbRBN https://t.co/yqy1lPMJoP"
"15",1,0,0,0,1,0,2,1,1,1,0,"Wonderful words about the #Oscars Incident of #WillSmith https://t.co/sIWZN0BeSu"
"16",1,0,1,2,0,1,0,2,4,1,-3,"Yes what WILL SMITH did at the Oscars was wrong. But it was a stronger force behind his actions. Wether you’re a man or women BULLYING comes in many forms. Will Smith needs to get as far away from this toxic woman as far as possible

Y’all still can’t see who the real problem is? https://t.co/UtMpo2QNXY"
"17",1,0,0,0,0,0,1,1,1,0,-1,"Oscars governors discuss sanctions for Will Smith over slap https://t.co/YSEGYNEDsF"
"18",1,1,0,0,0,0,1,2,2,1,-1,"Billy Crystal Calls Will Smith Oscars Slap a 'Most Disturbing Incident' https://t.co/YJ0CcdYw2L https://t.co/YkcoTK29Cg"
"19",1,1,1,2,1,2,1,1,3,2,-1,"@MattWalshBlog Probably a bit too simplistic an explanation for how much psychological stuff that's most likely going on here, but yeah, I tend to agree. She seems pretty awful. And no matter how in the wrong Will was at the Oscars, the more I see of their dynamic the worse I feel for the guy."
"20",0,0,0,0,0,0,0,2,0,3,3,"It’s also one of the greatest movies ever made. And while the Academy failed to give it any Oscars, I give them credit that Morgan Freeman was properly nominated for Best ACTOR and NOT shoehorned into the supporting category! https://t.co/gVFpKaEogy"
"21",1,0,0,0,0,0,1,1,2,0,-2,"Will Smith's fan support continues to decline after Oscars slap: poll https://t.co/x3yha67vPT https://t.co/jPGv8iPH0S"
"22",1,0,0,0,0,0,0,0,2,0,-2,"Ricky Gervais thinks he would have evaded Will Smith's anger at the Oscars: “I wouldn’t have told a joke about his wife’s hair... I’d have told a joke about her boyfriend.” https://t.co/TfM93WSULR"
"23",1,0,0,0,0,0,1,0,1,0,-1,"Before Jada ever knew that some day a soft rapper from Philly would set it off at the Oscars and bish-slap Pookie from New Jack City

#WillSmithAssault FlashbackFriday #Oscars Set It Off https://t.co/eUIbFjYMIa"
"24",0,0,0,0,0,0,0,0,0,0,0,"@Wolfe186801 It beat nwh at Oscars tho."
